entityId,controllerIndex,universe,channel
100,0,0,0
101,0,0,3
102,0,0,6
103,0,0,9
104,0,0,12
105,0,0,15
106,0,0,18
107,0,0,21
108,0,0,24
109,0,0,27
110,0,0,30
111,0,0,33
112,0,0,36
113,0,0,39
114,0,0,42
115,0,0,45
116,0,0,48
117,0,0,51
118,0,0,54
119,0,0,57
120,0,0,60
121,0,0,63
122,0,0,66
123,0,0,69
124,0,0,72
125,0,0,75
126,0,0,78
127,0,0,81
128,0,0,84
129,0,0,87
130,0,0,90
131,0,0,93
132,0,0,96
133,0,0,99
134,0,0,102
135,0,0,105
136,0,0,108
137,0,0,111
138,0,0,114
139,0,0,117
140,0,0,120
141,0,0,123
142,0,0,126
143,0,0,129
144,0,0,132
145,0,0,135
146,0,0,138
147,0,0,141
148,0,0,144
149,0,0,147
150,0,0,150
151,0,0,153
152,0,0,156
153,0,0,159
154,0,0,162
155,0,0,165
156,0,0,168
157,0,0,171
158,0,0,174
159,0,0,177
160,0,0,180
161,0,0,183
162,0,0,186
163,0,0,189
164,0,0,192
165,0,0,195
166,0,0,198
167,0,0,201
168,0,0,204
169,0,0,207
170,0,0,210
171,0,0,213
172,0,0,216
173,0,0,219
174,0,0,222
175,0,0,225
176,0,0,228
177,0,0,231
178,0,0,234
179,0,0,237
180,0,0,240
181,0,0,243
182,0,0,246
183,0,0,249
184,0,0,252
185,0,0,255
186,0,0,258
187,0,0,261
188,0,0,264
189,0,0,267
190,0,0,270
191,0,0,273
192,0,0,276
193,0,0,279
194,0,0,282
195,0,0,285
196,0,0,288
197,0,0,291
198,0,0,294
199,0,0,297
200,0,0,300
201,0,0,303
202,0,0,306
203,0,0,309
204,0,0,312
205,0,0,315
206,0,0,318
207,0,0,321
208,0,0,324
209,0,0,327
210,0,0,330
211,0,0,333
212,0,0,336
213,0,0,339
214,0,0,342
215,0,0,345
216,0,0,348
217,0,0,351
218,0,0,354
219,0,0,357
220,0,0,360
221,0,0,363
222,0,0,366
223,0,0,369
224,0,0,372
225,0,0,375
226,0,0,378
227,0,0,381
228,0,0,384
229,0,0,387
230,0,0,390
231,0,0,393
232,0,0,396
233,0,0,399
234,0,0,402
235,0,0,405
236,0,0,408
237,0,0,411
238,0,0,414
239,0,0,417
240,0,0,420
241,0,0,423
242,0,0,426
243,0,0,429
244,0,0,432
245,0,0,435
246,0,0,438
247,0,0,441
248,0,0,444
249,0,0,447
250,0,0,450
251,0,0,453
252,0,0,456
253,0,0,459
254,0,0,462
255,0,0,465
256,0,0,468
257,0,0,471
258,0,0,474
259,0,0,477
260,0,0,480
261,0,0,483
262,0,0,486
263,0,0,489
264,0,0,492
265,0,0,495
266,0,0,498
267,0,0,501
268,0,0,504
269,0,0,507
270,0,1,0
271,0,1,3
272,0,1,6
273,0,1,9
274,0,1,12
275,0,1,15
276,0,1,18
277,0,1,21
278,0,1,24
279,0,1,27
280,0,1,30
281,0,1,33
282,0,1,36
283,0,1,39
284,0,1,42
285,0,1,45
286,0,1,48
287,0,1,51
288,0,1,54
289,0,1,57
